epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,7865.44,0.82168,1.53551,0.58269,0.64255,0.05207,0.07205,0.03403,0.6554,1.25753,0.55493,0.005842,0.005842,0.005842
44,8048.38,0.81369,1.49542,0.57856,0.74528,0.04854,0.08238,0.04025,0.65708,1.25514,0.55317,0.005743,0.005743,0.005743
45,8230.94,0.77625,1.4379,0.5538,0.67885,0.0523,0.08863,0.04277,0.6524,1.25881,0.55016,0.005644,0.005644,0.005644
46,8414.38,0.80554,1.47966,0.58266,0.63326,0.05521,0.0778,0.03855,0.65474,1.25812,0.54692,0.005545,0.005545,0.005545
47,8602.25,0.82832,1.54062,0.59328,0.61431,0.05111,0.07211,0.03716,0.64258,1.25605,0.54594,0.005446,0.005446,0.005446
48,8795.21,0.80817,1.46814,0.56628,0.6162,0.04864,0.07207,0.03554,0.65168,1.27021,0.54938,0.005347,0.005347,0.005347
49,8979.77,0.84797,1.53919,0.59906,0.61581,0.05683,0.0751,0.0383,0.66391,1.27021,0.55203,0.005248,0.005248,0.005248
50,9164.32,0.8359,1.54031,0.60624,0.62509,0.05683,0.0751,0.03745,0.65756,1.28163,0.55296,0.005149,0.005149,0.005149
51,9347.86,0.81431,1.47573,0.57515,0.63417,0.05609,0.08618,0.04532,0.66065,1.26821,0.55313,0.00505,0.00505,0.00505
52,9532.3,0.82599,1.50393,0.59302,0.64623,0.06168,0.08734,0.04493,0.66057,1.26895,0.5538,0.004951,0.004951,0.004951
53,9715.45,0.79336,1.47409,0.56692,0.62179,0.06085,0.08094,0.04081,0.6596,1.2632,0.55214,0.004852,0.004852,0.004852
54,9900.06,0.84566,1.54482,0.61455,0.63051,0.05649,0.07513,0.03943,0.65228,1.25236,0.54848,0.004753,0.004753,0.004753
55,10086,0.82833,1.51242,0.60761,0.63137,0.05825,0.07705,0.03962,0.64544,1.24951,0.54598,0.004654,0.004654,0.004654
56,10272.9,0.803,1.4587,0.5694,0.59164,0.06056,0.07517,0.03907,0.64311,1.25209,0.54364,0.004555,0.004555,0.004555
57,10461.9,0.7976,1.49484,0.57512,0.59632,0.05511,0.07563,0.03987,0.6439,1.25132,0.54258,0.004456,0.004456,0.004456
58,10648.5,0.81463,1.48652,0.57768,0.60106,0.05835,0.07884,0.04202,0.64501,1.2527,0.54258,0.004357,0.004357,0.004357
59,10837.2,0.76642,1.42732,0.54691,0.60411,0.06083,0.08897,0.04926,0.64359,1.25787,0.54353,0.004258,0.004258,0.004258
60,11027.5,0.80975,1.47961,0.58799,0.59118,0.05997,0.0923,0.04907,0.6427,1.26053,0.54189,0.004159,0.004159,0.004159
61,11215.6,0.76545,1.44642,0.5539,0.59322,0.05997,0.09133,0.04924,0.6433,1.26104,0.54093,0.00406,0.00406,0.00406
62,11402,0.79913,1.4896,0.56749,0.60819,0.05511,0.09358,0.04791,0.64103,1.25693,0.53936,0.003961,0.003961,0.003961
